10000,2,1,0.982000
100000,0,1,0.959500
1000,0,1,0.958600
1000,1,0,0.963200
1000,1,1,0.966700
1000,2,1,0.967000
1000,1,2,0.967900
1000,3,1,0.968100
1000,1,3,0.968100
1000,5,1,0.967900
1000,1,5,0.961200
1000,10,1,0.967300
1000,1,10,0.962700
5000,0,1,0.966600
5000,1,0,0.973700
5000,1,1,0.971200
5000,2,1,0.972400
5000,1,2,0.974100
5000,3,1,0.968200
5000,1,3,0.971400
5000,5,1,0.969700
5000,1,5,0.973400
5000,10,1,0.973500
5000,1,10,0.968800
10000,0,1,0.967600
10000,1,0,0.974100
10000,1,1,0.976800
10000,2,1,0.973900
10000,1,2,0.973600
10000,3,1,0.978100
10000,1,3,0.973500
10000,5,1,0.976400
10000,1,5,0.971900
10000,10,1,0.974400
10000,1,10,0.974200
50000,0,1,0.962500
50000,1,0,0.971300
50000,1,1,0.969400
50000,2,1,0.976100
50000,1,2,0.973000
50000,3,1,0.975000
50000,1,3,0.975000
50000,5,1,0.974000
50000,1,5,0.974800
50000,10,1,0.969700
50000,1,10,0.974300
100000,0,1,0.969900
100000,1,2,0.959200
