1024,64,2,sqrt,0.5866666666666667
1024,64,2,log2,0.64
1024,64,2,,0.6066666666666667
1024,64,4,sqrt,0.7333333333333333
1024,64,4,log2,0.6733333333333333
1024,64,4,,0.7266666666666667
1024,64,8,sqrt,0.7466666666666667
1024,64,8,log2,0.74
1024,64,8,,0.78
1024,64,16,sqrt,0.76
1024,64,16,log2,0.76
1024,64,16,,0.78
1024,64,32,sqrt,0.76
1024,64,32,log2,0.76
1024,64,32,,0.78
1024,64,64,sqrt,0.76
1024,64,64,log2,0.76
1024,64,64,,0.78
1024,64,,sqrt,0.76
1024,64,,log2,0.76
1024,64,,,0.78
1024,128,2,sqrt,0.6733333333333333
1024,128,2,log2,0.7133333333333334
1024,128,2,,0.62
1024,128,4,sqrt,0.78
1024,128,4,log2,0.7133333333333334
1024,128,4,,0.74
1024,128,8,sqrt,0.7733333333333333
1024,128,8,log2,0.78
1024,128,8,,0.7866666666666666
1024,128,16,sqrt,0.8
1024,128,16,log2,0.7933333333333333
1024,128,16,,0.7866666666666666
1024,128,32,sqrt,0.8
1024,128,32,log2,0.7933333333333333
1024,128,32,,0.7866666666666666
1024,128,64,sqrt,0.8
1024,128,64,log2,0.7933333333333333
1024,128,64,,0.7866666666666666
1024,128,,sqrt,0.8
1024,128,,log2,0.7933333333333333
1024,128,,,0.7866666666666666
1024,256,2,sqrt,0.6933333333333334
1024,256,2,log2,0.7066666666666667
1024,256,2,,0.64
1024,256,4,sqrt,0.7666666666666667
1024,256,4,log2,0.7666666666666667
1024,256,4,,0.7533333333333333
1024,256,8,sqrt,0.8133333333333334
1024,256,8,log2,0.7933333333333333
1024,256,8,,0.7733333333333333
1024,256,16,sqrt,0.8133333333333334
1024,256,16,log2,0.8
1024,256,16,,0.78
1024,256,32,sqrt,0.8133333333333334
1024,256,32,log2,0.8
1024,256,32,,0.78
1024,256,64,sqrt,0.8133333333333334
1024,256,64,log2,0.8
1024,256,64,,0.78
1024,256,,sqrt,0.8133333333333334
1024,256,,log2,0.8
1024,256,,,0.78
1024,512,2,sqrt,0.7
1024,512,2,log2,0.7133333333333334
1024,512,2,,0.66
1024,512,4,sqrt,0.8066666666666666
1024,512,4,log2,0.78
1024,512,4,,0.76
1024,512,8,sqrt,0.8
1024,512,8,log2,0.8066666666666666
1024,512,8,,0.82
1024,512,16,sqrt,0.82
1024,512,16,log2,0.8333333333333334
1024,512,16,,0.82
1024,512,32,sqrt,0.82
1024,512,32,log2,0.8333333333333334
1024,512,32,,0.82
1024,512,64,sqrt,0.82
1024,512,64,log2,0.8333333333333334
1024,512,64,,0.82
1024,512,,sqrt,0.82
1024,512,,log2,0.8333333333333334
1024,512,,,0.82
1024,1024,2,sqrt,0.7
1024,1024,2,log2,0.7066666666666667
1024,1024,2,,0.6133333333333333
1024,1024,4,sqrt,0.7933333333333333
1024,1024,4,log2,0.8
1024,1024,4,,0.76
1024,1024,8,sqrt,0.82
1024,1024,8,log2,0.8
1024,1024,8,,0.78
1024,1024,16,sqrt,0.8333333333333334
1024,1024,16,log2,0.8133333333333334
1024,1024,16,,0.78
1024,1024,32,sqrt,0.8333333333333334
1024,1024,32,log2,0.8133333333333334
1024,1024,32,,0.78
1024,1024,64,sqrt,0.8333333333333334
1024,1024,64,log2,0.8133333333333334
1024,1024,64,,0.78
1024,1024,,sqrt,0.8333333333333334
1024,1024,,log2,0.8133333333333334
1024,1024,,,0.78
1024,2048,2,sqrt,0.7066666666666667
1024,2048,2,log2,0.7333333333333333
