NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
128,8192,8,,0.693333333,0.306666667
128,8192,16,sqrt,0.753333333,0.246666667
128,8192,16,log2,0.773333333,0.226666667
128,8192,16,,0.693333333,0.306666667
128,8192,32,sqrt,0.753333333,0.246666667
128,8192,32,log2,0.773333333,0.226666667
128,8192,32,,0.693333333,0.306666667
128,8192,64,sqrt,0.753333333,0.246666667
128,8192,64,log2,0.773333333,0.226666667
128,8192,64,,0.693333333,0.306666667
128,8192,,sqrt,0.753333333,0.246666667
128,8192,,log2,0.773333333,0.226666667
128,8192,,,0.693333333,0.306666667
128,16384,2,sqrt,0.626666667,0.373333333
128,16384,2,log2,0.62,0.38
128,16384,2,,0.566666667,0.433333333
128,16384,4,sqrt,0.733333333,0.266666667
128,16384,4,log2,0.74,0.26
128,16384,4,,0.673333333,0.326666667
128,16384,8,sqrt,0.753333333,0.246666667
128,16384,8,log2,0.773333333,0.226666667
128,16384,8,,0.686666667,0.313333333
128,16384,16,sqrt,0.753333333,0.246666667
128,16384,16,log2,0.773333333,0.226666667
128,16384,16,,0.686666667,0.313333333
128,16384,32,sqrt,0.753333333,0.246666667
128,16384,32,log2,0.773333333,0.226666667
128,16384,32,,0.686666667,0.313333333
128,16384,64,sqrt,0.753333333,0.246666667
128,16384,64,log2,0.773333333,0.226666667
128,16384,64,,0.686666667,0.313333333
128,16384,,sqrt,0.753333333,0.246666667
128,16384,,log2,0.773333333,0.226666667
128,16384,,,0.686666667,0.313333333
128,32768,2,sqrt,0.62,0.38
128,32768,2,log2,0.62,0.38
128,32768,2,,0.566666667,0.433333333
128,32768,4,sqrt,0.726666667,0.273333333
128,32768,4,log2,0.726666667,0.273333333
128,32768,4,,0.673333333,0.326666667
128,32768,8,sqrt,0.746666667,0.253333333
128,32768,8,log2,0.766666667,0.233333333
128,32768,8,,0.686666667,0.313333333
128,32768,16,sqrt,0.746666667,0.253333333
128,32768,16,log2,0.766666667,0.233333333
128,32768,16,,0.686666667,0.313333333
128,32768,32,sqrt,0.746666667,0.253333333
128,32768,32,log2,0.766666667,0.233333333
128,32768,32,,0.686666667,0.313333333
128,32768,64,sqrt,0.746666667,0.253333333
