0,7,10,1,0,8,14,3,3,5,6,13,0,11,2,1,5,0,0,2,1,0,20,10,13,7,0,8,2,9,16,3,10,2,8,3,0,0,7,13,0,10,10,6,12,36,2,12,14,1,12,1,19,0,0,5,4,5,7,2,7,0,6,6,16,6,3,21,1,15,0,23,25,6,20,5,25,10,4,9,0,3,2,5,2,8,4,5,0,16,23,6,1,3,3,7,0,5,7,11,2,4,14,2,2,5,18,2,0,1,2,6,0,32,0,6,4,0,7,4,0,6,0,9,1,3,0,29,0,0,4,2,2,8,9,0,2,1,7,0,0,19,19,5,18,1,7,4,3,1,16,6,7,6,6,1,5,9,9,1,17,11,4,8,4,9,1,0,2,2,3,0,2,6,17,8,15,8,1,14,1,6,3,18,5,2,18,2,0,4,3,7,13,1,7,7,0,1,4,2,5,16,3,2,0,10,0,3,5,1,14,20,5,5,3,14,1,0,1,15,6,18,12,0,5,1,1,17,14,18,20,11,3,7,14,8,6,7,3,6,8,1,7,3,16,14,5,3,12,21,8,11,0,1,11,5,7,15,2,9,1,15,17,2,1,3,1,3,2,6,11,25,16,0,0,3,2,6,14,0,2,2,2,13,12,7,2,12,0,10,0,3,6,11,0,7,25,0,14,6,4,5,0,0,0,10,2,3,15,0,11,1,23,6,2,18,0,5,0,4,2,2,2,0,5,30,28,0,7,1,11,23,15,51,9,10,2,7,0,0,8,3,1,12,14,4,9,10,1,8,5,3,0,12,13,0,9,1,0,2,3,14,4,13,22,5,11,1,16,9,12,0,7,0,0,7,1,0,11,1,30,5,0,20,9,4,5,5,13,0,0,2,0,23,9,2,8,21,3,5,3,3,11,1,14,18,8,1,3,12,28,2,0,1,8,0,5,1,2,3,8,2,5,9,10,0,9,9,0,2,1,17,4,4,12,6,16,13,10,11,26,33,25,8,62,5,1,0,3,12,4,4,0,4,23,12,9,3,5,9,0,2,17,4,12,5,0,3,0,3,5,18,2,17,0,4,3,3,0,4,3,16,2,7,3,7,1,0,4,15,9,1,8,3,2,5,5,3,4,10,27,65,4,0,10,0,1,0,1,3,4,2
18,6,1,0,203,1,1,6,0,0,0,11,22,14,1,0,7,0,0,0,17,0,19,37,0,0,0,44,0,19,15,0,24,3,8,20,2,0,12,11,0,7,18,3,11,1,8,7,0,1,0,0,6,0,0,7,0,0,3,0,0,0,0,0,12,0,1,6,0,0,0,1,40,4,6,2,3,1,0,26,0,11,5,0,0,24,1,0,0,5,0,2,26,0,2,18,0,12,7,0,1,1,0,0,0,0,3,10,0,0,1,0,4,0,0,0,0,0,20,3,0,2,0,0,3,2,3,0,0,0,1,3,1,0,9,10,0,0,0,10,0,16,9,0,14,0,0,2,0,0,2,1,0,8,3,0,2,0,4,3,2,3,1,0,19,27,3,1,12,0,0,0,0,1,5,0,1,0,20,8,9,2,2,15,3,0,17,6,1,0,4,0,5,2,25,39,0,2,2,11,18,54,17,14,0,5,0,32,3,0,21,0,0,2,0,4,0,4,0,0,3,4,13,1,20,0,10,8,0,0,0,2,1,1,0,1,4,4,2,0,1,9,36,0,0,3,2,14,2,0,9,19,11,2,8,6,24,2,0,15,4,0,29,1,32,15,0,0,0,0,4,8,0,0,0,0,2,5,11,17,2,2,37,15,6,0,6,0,0,11,0,4,0,30,5,5,3,0,13,6,11,22,7,0,4,24,1,0,0,0,21,5,37,4,16,19,15,7,0,14,42,8,0,6,11,0,0,3,7,0,0,18,0,0,7,32,4,0,0,0,8,9,0,15,3,0,0,0,0,4,0,20,2,9,5,0,10,0,6,24,1,0,4,0,2,0,15,3,0,0,21,0,1,0,0,0,0,26,10,0,3,8,0,0,20,0,0,6,14,25,0,12,0,9,0,2,4,19,3,1,5,5,8,0,7,11,6,8,0,7,0,0,0,17,0,0,1,0,0,17,0,0,0,16,5,22,12,26,0,2,0,0,0,2,3,8,4,9,20,1,16,26,0,7,0,27,14,0,12,11,1,1,0,7,4,28,0,0,1,1,8,5,19,1,0,0,0,9,1,0,0,19,5,0,0,4,0,0,1,13,0,0,1,6,0,0,5,0,1,7,9,0,9,0,11,15,13,1,0,6,13,0,7,3,2,0,11,0,0,1,8,2
2,7,5,0,0,13,10,0,0,5,3,0,2,2,4,0,7,0,0,0,11,0,3,0,20,5,0,17,0,17,11,1,1,2,0,1,0,0,7,7,2,1,1,0,7,310,0,0,2,2,1,0,7,0,0,0,0,1,0,3,3,0,1,9,6,2,1,16,0,5,0,8,12,3,14,0,6,8,4,2,0,2,12,0,0,0,3,37,0,27,0,8,0,0,4,0,0,0,1,76,0,0,16,1,0,0,11,0,0,2,0,13,0,19,0,1,0,2,1,0,0,0,0,19,0,0,0,0,0,0,1,0,0,1,2,0,2,0,1,0,0,6,12,21,6,0,2,63,0,0,21,0,1,5,3,0,5,0,12,4,36,8,0,0,1,17,0,0,0,8,0,1,0,7,29,3,5,0,0,10,0,1,0,0,2,2,5,0,1,2,4,2,1,0,4,6,0,0,0,2,0,24,2,5,0,0,1,0,16,4,1,13,0,6,0,18,0,13,8,5,1,13,8,0,1,0,0,3,16,6,2,18,1,1,6,5,1,1,5,4,10,6,1,2,1,20,3,11,17,20,15,0,0,0,9,1,0,10,0,2,0,2,2,2,0,7,0,8,0,4,9,30,3,1,0,11,1,16,15,0,4,6,23,0,1,3,6,36,0,7,0,0,0,5,0,14,12,0,16,1,0,0,0,0,10,2,1,0,0,0,2,12,0,10,0,6,0,2,1,0,2,9,0,0,0,23,3,0,14,0,9,47,1,0,7,9,0,16,0,0,14,1,2,0,4,0,1,2,0,2,0,1,0,0,12,0,9,2,0,0,0,11,0,5,48,1,0,3,36,12,0,0,2,0,0,0,6,1,7,5,13,7,0,18,0,2,0,2,8,0,1,13,0,15,1,2,1,33,0,0,0,12,0,0,35,10,2,1,0,26,16,0,0,1,0,3,0,5,0,0,0,0,6,5,18,0,12,2,0,2,0,0,0,1,0,28,5,4,0,7,0,4,6,2,7,2,7,0,7,6,15,19,0,1,12,2,1,0,4,16,0,4,3,0,7,0,1,6,1,1,10,1,2,48,0,1,3,1,0,2,0,10,1,1,0,0,2,1,5,5,8,0,11,0,0,1,0,2,0,1,16,197,6,0,23,1,0,0,0,2,1,0
0,1,0,0,622,0,2,3,4,14,1,24,16,6,0,2,3,0,0,1,4,1,9,29,0,9,0,1,26,0,17,2,36,14,6,41,0,0,5,3,0,17,26,2,0,1,0,7,4,0,5,0,2,2,0,6,3,0,4,0,8,19,0,0,10,0,4,0,0,3,0,1,4,1,5,10,24,5,0,20,0,6,2,7,0,34,0,8,0,1,4,1,0,0,0,33,0,9,3,27,3,13,4,0,0,0,0,6,0,0,6,1,2,0,0,0,1,0,1,0,0,5,0,0,2,6,0,0,1,0,3,5,0,0,4,3,0,0,1,26,0,8,2,0,15,0,1,5,2,1,1,1,0,4,0,24,0,8,0,0,3,2,0,2,2,1,0,0,3,5,0,0,2,0,1,8,8,1,3,0,26,6,1,30,1,0,5,0,2,2,0,5,10,0,40,0,1,3,12,35,43,0,10,0,2,10,1,7,0,1,13,0,10,2,3,0,0,1,0,2,5,0,12,0,32,1,35,7,1,0,2,1,6,1,0,6,1,0,2,0,4,0,37,1,0,1,2,0,2,1,3,9,22,22,1,3,24,3,1,21,2,2,31,12,0,16,0,0,0,2,8,1,0,1,2,1,9,0,1,0,0,3,0,17,1,0,0,12,0,1,0,11,3,21,0,2,3,0,5,2,2,19,0,0,0,24,0,1,3,3,29,0,22,2,0,4,7,0,0,27,0,0,8,23,11,0,1,2,12,6,0,1,3,0,3,1,12,0,0,0,0,0,2,15,0,1,5,1,1,1,2,2,0,4,0,0,3,0,1,6,4,0,0,1,0,3,18,0,1,6,36,0,2,0,0,0,3,1,14,0,0,0,0,0,16,3,0,0,12,0,1,5,0,0,6,0,6,0,1,0,1,0,2,2,0,4,8,2,1,1,0,1,0,1,8,0,0,0,0,0,2,1,0,6,0,0,2,11,0,1,1,0,0,3,19,16,20,0,28,1,13,1,18,7,24,36,0,3,0,0,0,0,2,1,1,16,0,3,1,0,23,0,14,7,0,0,3,1,2,1,0,13,1,4,0,4,5,3,0,15,0,0,0,14,0,0,1,0,0,1,1,0,3,6,20,0,32,1,7,0,9,0,7,0,2,0,3,0,2,5,4,2
0,6,1,0,10,0,0,26,1,0,0,8,4,7,0,4,2,0,0,0,6,1,8,2,1,3,0,1,0,0,34,2,10,6,2,4,31,0,11,0,1,3,5,2,5,0,54,3,6,0,1,0,6,21,1,2,0,15,4,4,0,3,0,1,10,0,1,1,0,3,0,1,24,2,5,8,3,7,0,11,0,2,11,1,0,3,3,11,0,0,0,2,15,1,0,7,0,7,8,1,3,9,2,0,0,0,0,3,29,0,5,4,5,0,2,0,2,0,4,0,0,1,0,0,2,8,1,1,0,0,8,1,0,7,17,32,1,1,0,8,38,16,0,1,8,1,2,27,5,11,0,39,1,7,6,1,0,1,0,0,1,16,4,0,6,2,27,4,5,6,0,1,0,8,4,1,5,0,1,11,4,5,0,3,2,0,17,3,0,3,2,16,5,2,12,13,0,13,4,4,3,10,14,1,0,5,0,5,0,1,13,0,7,3,54,0,0,0,0,3,2,1,5,3,14,108,1,6,1,0,0,0,6,1,0,4,48,9,5,1,6,2,10,21,0,5,10,5,0,0,13,12,11,0,8,2,7,1,0,3,15,6,1,8,55,11,0,1,1,0,13,2,2,2,0,1,2,3,5,11,4,2,0,9,9,0,1,0,0,4,1,3,1,9,0,11,27,0,14,6,24,2,16,0,0,2,0,4,1,2,11,3,12,2,0,17,13,4,3,6,3,2,0,1,4,0,0,4,20,0,0,0,0,1,4,12,4,1,0,1,12,0,20,5,0,15,2,0,0,12,1,7,11,2,0,0,3,51,83,6,6,0,1,3,0,0,9,0,0,8,10,0,2,3,0,2,5,42,8,25,0,0,0,9,21,2,2,0,11,0,0,12,0,1,8,3,5,0,1,8,6,2,2,36,0,5,5,8,4,3,0,1,0,0,87,1,2,0,0,1,2,1,0,6,1,1,19,11,0,0,0,0,0,2,9,22,8,0,3,0,12,5,6,27,32,6,5,4,9,1,0,22,0,8,7,3,0,3,0,8,1,5,4,3,1,0,0,1,1,4,2,5,0,4,0,8,3,0,66,17,25,1,3,3,0,0,1,0,5,0,5,2,6,1,2,81,3,2,0,0,41,0,14,0,1,3,2,0,1,2,3,1
5,0,17,5,0,0,3,4,0,12,8,8,0,9,0,2,6,0,1,2,0,4,0,20,0,15,0,16,0,2,0,5,25,0,21,0,3,1,7,10,1,5,0,1,1,0,9,14,11,6,10,0,8,1,0,9,1,5,0,5,5,0,4,2,12,10,3,9,5,5,0,6,4,0,0,2,0,25,3,3,10,0,0,9,3,0,5,9,1,5,11,0,0,4,7,8,0,1,79,3,19,0,4,0,0,8,0,1,3,3,1,5,1,1,1,19,7,4,26,1,0,13,5,4,4,0,2,14,1,3,5,48,0,10,2,5,1,0,7,0,3,7,15,0,12,2,24,15,0,1,10,1,4,15,0,0,24,7,0,15,4,2,2,1,8,1,9,0,2,6,1,23,1,1,1,8,3,4,17,1,0,2,5,3,5,11,11,2,11,8,9,26,16,10,30,5,4,3,1,6,0,3,14,0,2,1,7,30,0,1,8,6,16,4,2,0,6,8,20,1,5,0,10,5,27,0,0,2,5,4,8,8,28,22,12,10,11,4,4,7,1,9,39,1,10,4,9,5,1,8,3,16,0,0,0,5,5,0,3,21,1,2,13,18,4,0,7,5,0,3,0,3,12,3,1,12,15,9,3,2,7,1,0,7,5,15,9,0,3,6,0,0,7,13,0,2,6,0,1,6,10,19,1,0,89,12,9,9,9,1,4,6,18,4,33,4,0,4,0,7,8,5,0,0,16,0,0,5,1,0,7,0,10,0,2,6,9,0,0,0,10,10,12,3,3,1,10,4,2,9,5,3,0,24,7,3,15,11,10,12,14,13,0,7,8,5,3,9,3,0,24,3,7,7,0,18,3,5,0,3,3,2,3,1,1,17,1,7,0,2,3,0,0,8,6,3,2,0,5,1,3,2,14,1,2,5,12,4,4,4,4,10,0,8,2,1,8,8,1,0,7,3,2,15,4,6,7,27,0,18,0,1,4,9,1,4,1,4,12,10,14,0,6,13,9,1,2,6,4,1,3,2,0,15,6,15,10,11,4,9,0,3,0,0,12,3,0,2,6,14,5,3,23,6,1,7,0,0,12,6,1,15,1,4,6,10,7,11,5,1,0,7,0,3,1,10,3,14,4,11,1,0,0,6,2,167,25,0,9,30,6,9
0,5,3,3,0,0,0,0,1,1,16,9,0,10,0,3,10,1,2,0,0,0,0,14,0,2,0,19,0,3,8,5,1,0,4,0,1,1,9,2,4,5,1,6,1,12,1,12,6,6,10,0,10,5,3,9,1,5,0,8,12,2,6,4,1,1,11,3,2,6,0,2,15,9,1,14,0,15,5,0,1,0,0,8,5,0,15,19,0,4,9,24,2,1,2,1,0,5,18,32,15,0,8,0,3,5,1,0,0,14,9,3,5,13,3,2,12,2,4,11,0,6,1,3,8,5,2,2,2,3,12,7,1,0,4,20,6,1,4,0,10,8,2,0,8,11,20,70,1,16,14,0,1,6,0,0,8,7,3,11,8,1,8,7,19,5,0,4,1,3,2,13,0,2,5,2,6,2,5,2,0,6,2,15,4,3,0,1,9,2,2,15,10,0,9,6,5,6,7,3,0,6,4,0,0,0,3,9,0,5,5,1,14,18,6,0,6,0,4,6,11,4,11,19,2,23,0,1,11,1,33,4,4,2,7,9,0,0,8,6,4,3,0,2,22,7,5,0,0,3,8,0,0,0,3,7,8,0,3,5,2,5,14,16,22,1,5,1,0,1,1,3,9,0,0,9,6,1,6,9,7,1,5,8,8,0,6,0,3,9,0,1,9,3,0,10,8,0,1,3,6,12,5,0,7,5,3,6,18,2,4,3,0,24,0,8,0,4,6,2,1,14,0,0,12,0,0,9,2,0,15,9,4,0,4,20,16,3,0,0,9,1,0,7,2,4,4,1,4,10,9,8,1,5,2,2,7,5,18,6,4,10,0,15,0,0,2,1,1,1,1,2,0,16,0,10,6,0,5,0,11,5,0,4,1,11,2,3,1,5,9,1,0,13,22,2,5,9,2,1,11,2,2,0,16,0,23,3,11,5,6,6,0,5,0,3,5,9,0,0,7,18,1,13,1,0,11,8,1,6,7,2,0,17,3,4,5,0,2,3,0,4,5,21,10,0,6,7,1,5,3,1,0,6,3,8,4,5,5,19,0,8,5,6,10,2,0,8,0,8,5,1,3,5,1,19,4,5,21,16,8,1,8,8,4,7,9,5,11,0,2,16,0,8,0,2,3,4,1,7,3,0,6,0,0,18,5,0,6,16,3,10
0,3,10,0,0,0,24,3,0,0,3,12,1,11,0,4,13,0,0,1,4,0,8,6,0,1,0,13,0,15,9,4,8,6,7,0,4,0,8,13,5,2,20,0,3,21,6,5,5,1,3,0,11,13,0,5,0,2,5,2,1,0,0,0,8,0,7,26,0,4,0,13,15,1,1,5,4,1,2,5,0,2,11,0,0,1,5,4,0,28,0,11,0,3,7,1,0,7,15,0,10,6,3,0,0,0,52,5,0,0,6,2,8,2,1,2,1,2,0,2,0,1,0,22,1,0,1,2,0,0,6,0,0,1,4,10,2,0,1,0,1,12,30,0,9,0,1,0,6,1,28,1,5,10,2,3,14,5,6,1,4,5,4,0,5,35,2,0,21,4,0,0,0,0,9,0,7,0,2,6,4,1,0,10,5,1,11,0,1,0,1,3,4,1,10,8,0,0,12,20,1,18,7,7,0,9,1,8,0,3,11,7,1,4,3,10,1,2,0,8,2,45,3,0,13,6,0,4,2,0,2,13,4,1,4,4,2,3,4,2,6,1,5,0,1,10,14,3,21,10,13,13,3,9,3,0,18,7,3,20,3,7,11,7,7,2,1,9,0,0,9,9,2,0,0,1,0,26,3,0,0,2,76,9,2,0,3,0,0,3,0,18,3,10,0,3,19,0,13,15,11,22,0,0,2,5,0,2,0,4,14,3,17,2,0,6,2,5,1,0,1,37,0,0,16,3,0,0,10,5,0,26,0,0,8,6,17,21,0,0,15,2,0,12,17,7,0,0,2,7,2,0,0,1,9,0,15,0,10,9,5,0,0,6,13,0,9,1,3,0,7,0,1,0,0,3,3,0,5,0,8,1,0,16,22,0,0,10,3,7,0,7,0,26,5,35,1,21,0,1,3,5,8,0,12,7,13,4,6,7,6,4,0,1,4,5,3,2,0,0,1,0,0,0,13,0,2,25,0,0,0,0,0,2,10,4,14,21,7,14,10,5,2,18,6,0,6,7,0,31,24,7,0,0,10,7,0,1,1,5,0,5,27,5,7,0,1,2,0,3,0,6,3,4,0,1,12,0,0,20,0,7,0,13,0,0,6,0,7,0,2,2,12,1,2,2,2,2,0,10,14,5,5,0,6,0,1,0,0,0,4,4
0,7,0,0,379,0,1,12,4,0,9,26,8,6,0,5,8,3,0,4,12,5,18,8,3,9,0,1,0,2,12,4,25,20,4,55,42,0,4,0,5,33,13,26,7,0,20,9,2,2,4,1,8,15,0,4,1,5,15,8,1,0,1,1,4,1,8,0,2,8,0,1,3,8,6,5,1,7,8,41,4,17,5,11,2,9,3,1,0,0,8,2,0,1,0,21,0,22,18,0,1,22,5,0,5,0,0,24,13,0,11,0,9,0,1,0,1,1,1,3,0,7,0,0,5,10,3,0,1,1,7,4,0,8,5,32,3,0,5,15,0,5,0,0,9,2,7,3,2,2,0,9,5,8,0,13,1,11,0,4,0,2,5,8,1,2,14,0,3,1,0,2,0,2,1,16,12,5,8,3,19,0,3,12,0,0,18,0,1,0,3,40,1,0,17,4,4,9,20,6,35,1,17,0,0,7,2,8,0,4,13,0,5,0,1,0,5,0,7,0,3,0,3,8,20,23,10,8,0,0,1,2,0,5,3,2,16,20,1,0,0,0,13,0,2,6,11,0,2,0,1,21,31,6,4,19,16,1,1,5,5,0,11,11,5,11,1,1,1,0,1,1,9,4,0,0,2,0,0,3,0,0,0,18,18,1,4,3,0,5,0,10,6,18,0,3,3,0,6,2,22,3,6,0,12,13,0,0,9,0,22,3,23,1,3,8,16,5,2,20,16,0,0,11,3,1,2,4,4,0,5,0,1,0,3,0,4,0,0,0,0,3,1,12,0,4,3,0,3,1,8,4,19,12,0,0,3,8,18,16,13,4,0,4,2,2,6,1,5,0,16,1,4,0,0,5,4,1,12,3,2,2,2,0,38,4,1,0,5,0,0,7,0,0,18,0,32,1,1,0,13,0,3,17,1,2,14,4,2,0,1,2,0,2,10,2,0,1,4,0,6,6,0,12,0,0,3,4,0,0,4,1,0,3,14,2,10,0,17,0,24,0,1,20,21,20,0,2,9,0,0,0,0,0,0,13,3,0,4,1,23,5,10,15,0,3,0,0,5,3,2,44,4,1,0,4,11,0,2,13,2,0,2,19,0,3,3,0,2,0,0,2,7,1,17,18,18,0,0,0,6,0,3,14,0,3,2,0,3,1,3,12
4,9,1,5,0,3,3,6,2,4,1,17,4,1,1,4,20,0,0,2,10,4,12,13,19,3,0,25,0,32,10,1,19,2,10,5,0,2,3,11,0,6,12,2,13,4,3,9,3,1,2,0,17,2,0,20,12,0,1,6,2,1,3,0,2,0,0,14,0,1,0,16,19,0,11,3,14,5,4,20,10,3,9,4,2,3,11,5,0,13,16,5,2,0,3,12,0,0,5,4,6,4,4,1,3,13,10,4,0,0,1,6,4,24,1,2,1,0,3,6,1,9,0,6,0,6,0,8,0,0,2,6,3,5,12,7,1,0,0,3,2,9,7,12,14,0,8,19,0,3,15,0,1,9,0,0,5,2,9,5,15,8,4,2,2,7,0,7,1,8,3,1,1,8,9,2,5,0,3,14,7,11,0,7,14,14,21,0,5,0,7,11,7,2,18,8,1,7,5,8,14,19,11,0,0,10,0,4,15,0,11,3,3,0,0,4,1,4,0,14,7,26,6,2,15,1,0,3,8,8,11,12,8,5,15,14,1,3,1,0,13,0,24,12,7,5,10,14,5,13,9,8,0,1,6,16,14,8,1,4,3,5,18,17,2,27,0,4,0,4,29,3,12,2,0,1,4,21,23,1,2,8,17,6,12,2,7,20,0,7,0,7,3,14,2,10,1,0,9,9,4,7,0,1,3,13,2,3,3,0,13,11,19,15,8,16,0,16,0,0,2,8,4,1,4,14,1,5,25,3,0,8,12,0,7,12,10,2,0,0,10,7,0,16,12,1,4,3,0,5,1,1,2,10,15,0,10,2,1,4,3,14,1,35,5,2,8,0,7,13,23,0,0,0,0,1,3,2,18,0,10,1,3,13,18,10,0,3,31,2,0,25,0,24,6,28,7,13,7,1,2,7,3,1,9,13,7,6,9,11,2,4,0,8,1,0,2,6,0,14,0,1,2,18,14,10,6,9,1,2,0,0,0,4,3,2,13,4,6,69,21,9,12,3,19,6,2,0,18,40,8,12,0,5,11,13,10,3,7,21,0,9,14,2,11,1,4,1,4,6,1,9,7,7,0,4,4,0,1,17,0,2,1,0,0,4,13,2,1,2,8,2,17,2,1,5,16,2,0,5,16,2,11,0,2,3,4,0,1,4,5,0
